transaction_id,timestamp,amount,merchant_category,transaction_type,hour_of_day,day_of_week,is_international,customer_age,account_age_days,distance_from_home,city,country,num_transactions_last_hour,avg_amount_last_24h,is_fraud
TXN-000000,2026-02-08 19:28:14,116.16,gas_station,purchase,19,6,1,47,1639,301.7,Toronto,Canada,2,30.54,0
TXN-000001,2026-01-12 21:43:24,420.82,online_shopping,purchase,21,0,1,30,3633,33.4,Shanghai,China,2,46.35,0
TXN-000002,2026-01-21 08:38:17,1649.86,electronics,purchase,8,2,1,29,2613,19.5,Paris,France,1,43.4,0
TXN-000003,2026-01-02 05:53:41,8412.28,cryptocurrency,payment,5,4,1,43,1501,126.8,Sydney,Australia,5,64.8,0
TXN-000004,2026-03-01 12:40:28,322.67,clothing,transfer,12,6,1,46,1699,66.6,Moscow,Russia,0,76.04,0
TXN-000005,2026-02-17 22:22:23,957.18,healthcare,transfer,22,1,1,51,805,534.8,Lagos,Nigeria,3,148.94,1
TXN-000006,2026-01-15 14:25:41,1396.63,travel,purchase,14,3,1,18,864,357.2,Mumbai,India,1,24.8,1
TXN-000007,2026-02-28 18:21:27,1579.25,travel,purchase,18,5,1,48,2626,31.0,Paris,France,4,21.0,0
TXN-000008,2026-02-26 19:12:40,28.06,gas_station,purchase,19,3,1,25,1435,47.1,Tokyo,Japan,1,73.8,0
TXN-000009,2026-02-18 19:11:38,962.31,healthcare,purchase,19,2,1,18,3458,49.0,Berlin,Germany,2,77.08,0
TXN-000010,2026-02-01 05:31:54,1438.84,electronics,payment,5,6,1,53,123,150.1,Lagos,Nigeria,2,33.33,1
TXN-000011,2026-01-29 02:19:59,584.01,electronics,transfer,2,3,1,50,3003,28.7,Berlin,Germany,3,163.45,0
TXN-000012,2026-01-25 17:22:30,1254.54,electronics,refund,17,6,1,33,1788,113.1,Mumbai,India,1,12.94,0
TXN-000013,2026-02-17 15:02:19,63.18,gas_station,payment,15,1,1,54,2200,1.4,Shanghai,China,0,164.46,0
TXN-000014,2026-01-29 17:45:17,484.45,electronics,transfer,17,3,0,18,957,102.2,New York,USA,1,129.96,0
TXN-000015,2026-02-17 11:58:50,50.53,restaurant,purchase,11,1,1,51,470,354.8,São Paulo,Brazil,2,76.8,0
TXN-000016,2026-02-02 04:59:47,703.22,online_shopping,purchase,4,0,1,23,1244,69.3,São Paulo,Brazil,0,48.22,0
TXN-000017,2026-02-04 00:51:20,127.78,utilities,purchase,0,2,1,48,2976,278.9,Mexico City,Mexico,1,15.71,0
TXN-000018,2026-02-16 21:22:01,53.6,utilities,purchase,21,0,1,26,785,66.8,São Paulo,Brazil,5,229.83,0
TXN-000019,2026-02-15 15:13:11,59.86,restaurant,purchase,15,6,1,38,1907,59.7,São Paulo,Brazil,2,23.2,0
TXN-000020,2026-02-18 19:41:05,134.52,online_shopping,payment,19,2,1,42,2661,503.9,Paris,France,2,288.23,0
TXN-000021,2026-01-16 12:49:59,39.07,restaurant,payment,12,4,1,27,1130,43.3,Berlin,Germany,1,10.29,0
TXN-000022,2026-01-12 20:00:57,897.97,online_shopping,transfer,20,0,1,36,1120,409.1,Sydney,Australia,3,16.72,0
TXN-000023,2026-01-29 13:27:04,60.69,grocery,payment,13,3,1,41,3119,216.2,Moscow,Russia,2,354.96,0
TXN-000024,2026-02-27 09:53:04,4860.54,wire_transfer,withdrawal,9,4,1,33,2810,161.2,Sydney,Australia,1,44.59,0
TXN-000025,2026-01-27 19:23:11,702.6,online_shopping,purchase,19,1,1,38,2738,73.2,Paris,France,3,87.1,0
TXN-000026,2026-01-02 18:49:34,44.55,utilities,purchase,18,4,1,55,2653,45.3,London,UK,2,85.51,0
TXN-000027,2026-02-06 08:23:34,25.04,gas_station,purchase,8,4,1,36,1123,123.8,Shanghai,China,2,174.5,0
